ItemNo,Description1,client,B408020,B193818
G-LC-CAPB050,ฝาหกเหลี่ยม (LC50/100) ดำ,DEFAULT,,800
G-LC-CAPGO015,ฝาหกเหลี่ยม (LC15) ทอง,DEFAULT,,800
G-LC-CAPGO030,ฝาหกเหลี่ยม (LC30) ทอง,DEFAULT,,800
G-LC-CAPGO050,ฝาหกเหลี่ยม (LC50/100) ทอง,DEFAULT,,800
G-LC-CAPP015,ฝาหกเหลี่ยม (LC15) ชมพู,DEFAULT,,800
G-LC-CAPP030,ฝาหกเหลี่ยม (LC30) ชมพู,DEFAULT,,800
G-LC-CAPP050,ฝาหกเหลี่ยม (LC50/100) ชมพู,DEFAULT,,800
G-LC-CAPS015,ฝาหกเหลี่ยม (LC15) เงิน,DEFAULT,,800
G-LC-CAPS050,ฝาหกเหลี่ยม (LC50/100) เงิน,DEFAULT,,800
G-LC-CAPW010,ฝาหกเหลี่ยม (LC10) ขาว,DEFAULT,,800
G-LC-CAPW015,ฝาหกเหลี่ยม (LC15) ขาว,DEFAULT,,800
G-LC-CAPW030,ฝาหกเหลี่ยม (LC30) ขาว,DEFAULT,,800
G-LC-CAPW050,ฝาหกเหลี่ยม (LC50/100) ขาว,DEFAULT,,800
G-LC-CAPZP35W,ฝาฟลิบหลอด LC ได 35 สีขาว,DEFAULT,,800
G-LC-G0015,หลอดอลู LC15ml ทอง (เฉพาะตัวหลอด),DEFAULT,,200
G-LC-G0030,หลอดอลู LC30ml ทอง (เฉพาะตัวหลอด),DEFAULT,,150
G-LC-G0050,หลอดอลู LC50ml ทอง (เฉพาะตัวหลอด),DEFAULT,300,100
G-LC-G0100,หลอดอลู LC100ml ทอง (เฉพาะตัวหลอด),DEFAULT,250,50
G-LC-RG0015,หลอดอลู LC15ml โรสโกลด์ (เฉพาะตัวหลอด),DEFAULT,,200
G-LC-RG0030,หลอดอลู LC30ml โรสโกลด์ (เฉพาะตัวหลอด),DEFAULT,,150
G-LC-RG0050,หลอดอลู LC50ml โรสโกลด์ (เฉพาะตัวหลอด),DEFAULT,300,100
G-LC-RG0100,หลอดอลู LC100ml โรสโกลด์ (เฉพาะตัวหลอด),DEFAULT,250,50
G-LC-S0010-SS,หลอดอลู LC10ml เงิน (เฉพาะตัวหลอด),DEFAULT,,450
G-LC-S0015-SS,หลอดอลู LC15ml เงิน (เฉพาะตัวหลอด),DEFAULT,,200
G-LC-S0030-SS,หลอดอลู LC30ml เงิน (เฉพาะตัวหลอด),DEFAULT,,150
G-LC-S0050-SS,หลอดอลู LC50ml เงิน (เฉพาะตัวหลอด),DEFAULT,300,100
G-LC-S0100-SS,หลอดอลู LC100ml เงิน (เฉพาะตัวหลอด),DEFAULT,250,50
G-LC-S22105-30SS,หลอดอลู LC22105 (30g) เงิน (เฉพาะตัวหลอด),DEFAULT,,150
G-LC-W0010-WW,หลอดอลู LC10ml ขาว (เฉพาะตัวหลอด),DEFAULT,,450
G-LC-W0015-WW,หลอดอลู LC15ml ขาว (เฉพาะตัวหลอด),DEFAULT,,200
G-LC-W0030-WW,หลอดอลู LC30ml ขาว (เฉพาะตัวหลอด),DEFAULT,,150
G-LC-W0050-WW,หลอดอลู LC50ml ขาว (เฉพาะตัวหลอด),DEFAULT,300,100
G-LC-W0100-WW,หลอดอลู LC100ml ขาว (เฉพาะตัวหลอด),DEFAULT,250,50
G-LD45100-0100B,หลอด LD 100g (45*100) สีดำ,DEFAULT,200,
G-LD45100-0100CH,หลอด LD 100g (45*100) สีชอกโกแลต,DEFAULT,200,
G-LD45100-0100F,หลอด LD 100g (45*100) สีฟ้า,DEFAULT,200,
G-LD45100-0100OR,หลอด LD 100g (45*100) สีออร์แกนิค,DEFAULT,200,
G-LD45100-0100W,หลอด LD 100g (45*100) สีขาว,DEFAULT,200,
G-LD45120-0150B,หลอด LD 150g (45*120) สีดำ,DEFAULT,200,
G-LD45120-0150CH,หลอด LD 150g (45*120) สีชอกโกแลต,DEFAULT,200,
G-LD45120-0150F,หลอด LD 150g (45*120) สีฟ้า,DEFAULT,200,
G-LD45120-0150OR,หลอด LD 150g (45*120) สีออร์แกนิค,DEFAULT,200,
G-LD45120-0150W,หลอด LD 150g (45*120) สีขาว,DEFAULT,200,
G-LD45160-0200B,หลอด LD 200g (45*160) สีดำ,DEFAULT,150,
G-LD45160-0200CH,หลอด LD 200g (45*160) สีชอกโกแลต,DEFAULT,150,
G-LD45160-0200F,หลอด LD 200g (45*160) สีฟ้า,DEFAULT,150,
G-LD45160-0200OR,หลอด LD 200g (45*160) สีออร์แกนิค,DEFAULT,150,
G-LD45160-0200W,หลอด LD 200g (45*160) สีขาว,DEFAULT,150,
G-LIP01-010C,ตัวหลอดนิ่ม Lip Gross 10 g. ใส,DEFAULT,,400
G-LIP01-CAPC,ฝาหลอดนิ่ม Lip Gross ใส,DEFAULT,,800
G-LIP01-Jook,จุกของหลอดนิ่ม Lip Gross (ปลายตัดเฉียง),DEFAULT,,800
G-LM1111-040C,หลอด LM1111 - 40ml สีใสฝาฟลิบใส,DEFAULT,,50
G-LM1112-060C,หลอด LM1112 - 60ml สีใสฝาฟลิบใส,DEFAULT,,50
G-MM5-30080-030WM,หลอดMM5-30g (30*80) สีขาวมุก ปลายโค้ง,DEFAULT,,150
G-MM5-30080-030WM,หลอดMM5-30g (30*80) สีขาวมุก ปลายโค้ง,DEFAULT,,150
G-MM5-30104-050WM,หลอดMM5-50g ยาว (30*104) สีขาวมุก ปลายโค้ง,DEFAULT,,100
G-MM5-35090-050WM,หลอดMM5-50g อ้วน (35*90) สีขาวมุก ปลายโค้ง,DEFAULT,,100
G-MM5-35135-100WM,หลอดMM5-100g (35*135) สีขาวมุก ปลายโค้ง,DEFAULT,,50
G-ZJOOK-L,"จุกหลอดโฟมไซส์ L (150,200,250)",DEFAULT,,1000
G-ZJOOK-L2,"จุกหลอดโฟมไซส์ L รุ่น2 (150,200,250)",DEFAULT,,1000
G-ZJOOK-M6.0MM,"จุกหลอดโฟมไซส์ M 6mm (30,50,100)",DEFAULT,,1000
G-ZJOOK-MDIOR-C,จุกหลอดโฟมปลายแหลมสีใส **สำหรับฝาดิออร์**,DEFAULT,,1000
G-ZJOOK-MDIOR-W,จุกหลอดโฟมปลายแหลมสีขาว **สำหรับฝาดิออร์**,DEFAULT,,1000
G-ZJOOK-MM-W,จุกแหลมหลอด M สีขาว,DEFAULT,,1000
G-ZJOOK-S4.5MM,"จุกหลอดโฟมไซส์ S 4.5mm (5,10,15,20,25, LC)",DEFAULT,,1000
H-AL-0018-LS,ฝาอลู คอ 18 เงินไม่ม้วนขอบ,DEFAULT,,800
H-AL-0018-OG,ฝาอลู คอ 18 ทองม้วนขอบ,DEFAULT,,800
H-AL-0018-OS,ฝาอลู คอ 18 เงินม้วนขอบ,DEFAULT,,800
H-AL-0020-OS,ฝาอลู คอ 20 เงินสั้นม้วนขอบ,DEFAULT,,800
H-AL-0022-OS,ฝาอลู คอ 22 เงินสั้นม้วนขอบ,DEFAULT,,800
H-AL-0024-GO,ฝาอลู คอ 24 ทอง,DEFAULT,,600
H-AL-0024-GOL,ฝาอลู คอ 24 ทอง ยาวม้วนขอบ,DEFAULT,,600
H-AL-0024-LN,ฝาอลู คอ 24 เงิน ยาวไม่ม้วนขอบ,DEFAULT,,600
H-AL-0024-OBrL,ฝาอลู คอ 24 นํ้าตาล ยาวม้วนขอบ,DEFAULT,,600
H-AL-0024-OS,ฝาอลู คอ 24 เงินสั้นม้วนขอบ,DEFAULT,,600
H-AL-0024-OSL,ฝาอลู คอ 24 เงิน แบบยาวม้วนขอบ,DEFAULT,,600
H-AL-0028-OS,ฝาอลู คอ 28,DEFAULT,,600
H-AL-0033-OS,ฝาอลู คอ 33,DEFAULT,,500
H-ALL6-0028-OS,ฝาอลู L6-28mm เจาะรู สีเงิน,DEFAULT,,600
H-CAP2-24-C,CAP # 2 คอ24ใส,DEFAULT,,400
H-CAP3-24-Br,CAP # 3 นํ้าตาลแดง คอ24 Loccitain,DEFAULT,,400
H-CAP3-24-S,CAP # 3 เงิน คอ24 Loccitain,DEFAULT,,400
H-CAP4-24-B,CAP # 4 ดำ คอ24 เทเลทับบี้,DEFAULT,,350
H-CAP4-24-C,CAP # 4 ใส คอ24 เทเลทับบี้,DEFAULT,,350
H-CAP4-24-Go,CAP # 4 ทอง คอ24 เทเลทับบี้,DEFAULT,,350
H-CAP4-24-S,CAP # 4 เงิน คอ24 เทเลทับบี้,DEFAULT,,350
H-CAP5-20B,CAP #5 คอ20 ดำ,DEFAULT,,500
H-CAP5-20C,CAP #5 คอ20 ใส,DEFAULT,,500
H-CAP5-20F,CAP #5 คอ20 ฟ้า,DEFAULT,,500
H-CAP5-20GR,CAP #5 คอ20 เขียว,DEFAULT,,500
H-CAP5-20P,CAP #5 คอ20 ชมพู,DEFAULT,,500
H-CAP5-20W,CAP #5 คอ20 ขาว,DEFAULT,,500
H-CAP5-20Y,CAP #5 คอ20 เหลือง,DEFAULT,,500
H-CAP5-24B,CAP #5 คอ24 ดำ,DEFAULT,,400
H-CAP5-24C,CAP #5 คอ24 ใส,DEFAULT,,400
H-CAP5-24F,CAP #5 คอ24 ฟ้า,DEFAULT,,400
H-CAP5-24P,CAP #5 คอ24 ชมพู,DEFAULT,,400
H-CAP5-24W,CAP #5 คอ24 ขาว,DEFAULT,,400
H-CAP5-24Y,CAP #5 คอ24 เหลือง,DEFAULT,,400
H-CAP5-28B,CAP #5 คอ28 ดำ,DEFAULT,,300
H-CAP5-28C,CAP #5 คอ28 ใส,DEFAULT,,300
H-CAP5-28W,CAP #5 คอ28 ขาว,DEFAULT,,300
H-CAP6-24B,CAP #6 Loccitane คอ24 ดำ,DEFAULT,,400
H-CAP6-24W,CAP #6 Loccitane คอ24 ขาว,DEFAULT,,400
H-DET45WC,ฝาดีเทอร์เจ้น 45mm สีขาวฝาครอบใส,DEFAULT,,100
H-DP-0020-GG,ฝาดอปเปอร์ได 20 ทอง,DEFAULT,,300
h-dp-0020-Glass110,แท่งแก้วอดอปเปอร์ 110mm,DEFAULT,,800
H-DP-0020-RubberB,จุกยางสีดำ  (ฝาดอปเปอร์20),DEFAULT,,800
H-EKC-20B,ฝาเกลียว คอ 20 ดำ,DEFAULT,,800
H-EKC-20C,ฝาเกลียว คอ 20 ใส,DEFAULT,,800
H-EKC-20W,ฝาเกลียว คอ 20 ขาว,DEFAULT,,800
H-EKC-24B,ฝาเกลียว คอ 24 ดำ,DEFAULT,,500
H-EKC-24C,ฝาเกลียว คอ 24 ใส,DEFAULT,,500
H-EKC-24W,ฝาเกลียว คอ 24 ขาว,DEFAULT,,500
H-EKC-28B,ฝาเกลียว คอ 28 ดำ,DEFAULT,,500
H-EKC-28C,ฝาเกลียว คอ 28 ใส,DEFAULT,,500
H-EKC-28W,ฝาเกลียว คอ 28 ขาว,DEFAULT,,500
H-EKC-33B,ฝาเกลียว คอ 33 ดำ,DEFAULT,,400
H-EKC-33C,ฝาเกลียว คอ 33 ใส,DEFAULT,,400
H-EKC-33W,ฝาเกลียว คอ 33 ขาว,DEFAULT,,400
H-EKC-38C,"ฝาขวดเกลียวใสคอ 38 (C198A, C173A)",DEFAULT,,400
H-EKC-38W,"ฝาขวดเกลียวขาวคอ 38 (C198A, C173A)",DEFAULT,,400
H-EKC-43B,ฝาเกลียว คอ 43 ดำ,DEFAULT,,200
H-EKC-43C,ฝาเกลียว คอ 43 ใส,DEFAULT,,200
H-EKC-43W,ฝาเกลียว คอ 43 ขาว,DEFAULT,,200
H-EKCW-24-MableW,ฝาเกลียว คอ 24 ลายหินอ่อนมาเบิ้ลขาว,DEFAULT,,660
H-EKCW-24-Maple,ฝาเกลียว คอ 24 ลายไม้เมเปิ้ล,DEFAULT,,660
H-EKCW-24-Mapling,ฝาเกลียว คอ 24 ลายไม้มะปลิง,DEFAULT,,660
H-EKCW-24-Mapling,ฝาเกลียว คอ 24 ลายไม้มะปลิง,DEFAULT,,660
H-EKCW-24-Oak,ฝาเกลียว คอ 24 ลายไม้โอ๊ค,DEFAULT,,660
H-EKCW-24-Walnut,ฝาเกลียว คอ 24 ลายไม้วอลนัท,DEFAULT,,660
H-EKCW-28-Maple,ฝาเกลียว คอ 28 ลายไม้เมเปิ้ล,DEFAULT,,552
H-EKCW-28-Mapling,ฝาเกลียว คอ 28 ลายไม้มะปลิง,DEFAULT,,552
H-EKCW-28-Oak,ฝาเกลียว คอ 28 ลายไม้โอ๊ค,DEFAULT,,552
H-EKCW-28-Walnut,ฝาเกลียว คอ 28 ลายไม้วอลนัท,DEFAULT,,552
H-KD18-B,ฝา KD18 ดำ,DEFAULT,,500
H-KD18-C,ฝา KD18 ใส,DEFAULT,,500
H-KD18-GO,ฝา KD18 พลาสติกเหลืองทอง,DEFAULT,,500
H-KD18-S,ฝา KD18 พลาสติกเงินเทา,DEFAULT,,500
H-KD18-W,ฝา KD18 ขาว,DEFAULT,,500
H-KD20-B,ฝา KD20 ดำ,DEFAULT,,400
H-KD20-C,ฝา KD20 ใส,DEFAULT,,400
H-KD20-GG,ฝา KD20 ทองเงา,DEFAULT,,400
H-KD20-W,ฝา KD20 ขาว,DEFAULT,,400
H-KD24-B,ฝา KD24 ดำ,DEFAULT,,300
H-KD24-C,ฝา KD24 ใส,DEFAULT,,300
H-KD24-F,ฝา KD24 ฟ้า,DEFAULT,,300
H-KD24-GG,ฝา KD24 ทองเงา,DEFAULT,,300
H-KD24-GR,ฝา KD24 เขียว,DEFAULT,,300
H-KD24-P,ฝา KD24 ชมพู,DEFAULT,,300
H-KD24-SS,ฝา KD24 เงินเงา,DEFAULT,,300
H-KD24-W,ฝา KD24 ขาว,DEFAULT,,300
H-KD24-Y,ฝา KD24 เหลือง,DEFAULT,,300
H-KDFOAM18,แผ่นโฟมรองใต้ฝา KD18,DEFAULT,,
H-KDFOAM20,แผ่นโฟมรองใต้ฝา KD20,DEFAULT,,
H-KDFOAM24,แผ่นโฟมรองใต้ฝา KD24,DEFAULT,,
H-KDW18-Walnut,ฝา KD18 ลายไม้วอลนัท,DEFAULT,,400
H-KDW24-MableW,ฝา KD24 ลายหินอ่อนมาร์เบิ้ล สีขาว,DEFAULT,,300
H-KDW24-Maple,ฝา KD24 ลายไม้เมเปิ้ล,DEFAULT,,300
H-KDW24-Mapling,ฝา KD24 ลายไม้มะปลิง,DEFAULT,,300
H-KDW24-Oak,ฝา KD24 ลายไม้โอ๊ค,DEFAULT,,300
H-KDW24-Walnut,ฝา KD24 ลายไม้วอลนัท,DEFAULT,,300
H-KL-0028-BLC,ฝาแครอลสีดำคอ28,DEFAULT,,
H-KL-0028-CC,ฝาแครอลสีใสคอ28,DEFAULT,,
H-KL-0028-PC,ฝาแครอลสีชมพูใสคอ28,DEFAULT,,
H-KL-0028-WW,ฝาแครอลสีขาวนมคอ28,DEFAULT,,
H-MZ18GO,ฝา MZ ได 18 ทอง,DEFAULT,,300
H-MZ18S,ฝา MZ ได 18 เงิน,DEFAULT,,300
H-MZ20GO,ฝา MZ ได 20 ทอง,DEFAULT,,200
H-MZ20S,ฝา MZ ได 20 เงิน,DEFAULT,,200
H-MZ24GO,ฝา MZ ได 24 ทอง,DEFAULT,,100
H-MZ24S,ฝา MZ ได 24 เงิน,DEFAULT,,100
H-N18C,ฝาเปิดปิด N-18 ใส,DEFAULT,,400
H-N20B,ฝาเปิดปิด N-20 ดำ,DEFAULT,,400
H-N20C,ฝาเปิดปิด N-20 ใส,DEFAULT,,400
H-N20W,ฝาเปิดปิด N-20 ขาว,DEFAULT,,400
H-N24B,ฝาเปิดปิด N-24 ดำ,DEFAULT,,300
H-N24C,ฝาเปิดปิด N-24 ใส,DEFAULT,,300
H-N24W,ฝาเปิดปิด N-24 ขาว,DEFAULT,,300
H-N24W(HY),ฝาเปิดปิด N-24 ขาว (HY),DEFAULT,,300
H-N28B,ฝาเปิดปิด N-28 ดำ,DEFAULT,,200
H-N28C,ฝาเปิดปิด N-28 ใส,DEFAULT,,200
H-N28W,ฝาเปิดปิด N-28 ขาว,DEFAULT,,200
H-NM24G,ฝาฟลิบหัวเพชร NM24G ทอง,DEFAULT,,200
H-NM24S,ฝาฟลิบหัวเพชร NM24S เงิน,DEFAULT,,200
H-P18C,ฝาเปิดปิด P-18 ใส,DEFAULT,,400
H-P20B,ฝาเปิดปิด P-20 ดำ,DEFAULT,,400
H-P20C,ฝาเปิดปิด P-20 ใส,DEFAULT,,400
H-P20W,ฝาเปิดปิด P-20 ขาว,DEFAULT,,400
H-P24B,ฝาเปิดปิด P-24 ดำ,DEFAULT,,300
H-P24C,ฝาเปิดปิด P-24 ใส,DEFAULT,,300
H-P24W,ฝาเปิดปิด P-24 ขาว,DEFAULT,,300
H-P24WDMapling,ฝาเปิดปิด P-24 ลายไม้มะปลิง,DEFAULT,,300
H-QI20-GD,ฝา QI คอ20 ทองด้าน,DEFAULT,,400
H-QI20-GG,ฝา QI คอ20 ทองเงา,DEFAULT,,400
H-QI20-SD,ฝา QI คอ20 เงินด้าน,DEFAULT,,400
H-QI20-SS,ฝา QI คอ20 เงินเงา,DEFAULT,,400
H-QI20-TD,ฝา QI คอ20 ทองแดง (แมทสีชมพูอมน้ำตาล),DEFAULT,,400
H-QI20-ZFORM,แผ่นโฟมรองใต้ฝา (QI20),DEFAULT,,
H-QI20-ZFORM1.20,แผ่นโฟมรองใต้ฝา (QI20) หนา1.2mm,DEFAULT,,
H-QI24-GD,ฝา QI คอ24 ทองด้าน,DEFAULT,,300
H-QI24-GG,ฝา QI คอ24 ทองเงา,DEFAULT,,300
H-QI24-SD,ฝา QI คอ24 เงินด้าน,DEFAULT,,300
H-QI24-SS,ฝา QI คอ24 เงินเงา,DEFAULT,,300
H-QI24-ZFORM,แผ่นโฟมรองใต้ฝา (QI24),DEFAULT,,
H-QT20-BB,ฝา QT คอ20 ดำเงา,DEFAULT,,300
H-QT20-SDC,ฝา QT คอ20 เงินด้านคาดเงิน,DEFAULT,,300
H-QT20-SS,ฝา QT คอ20 เงินเงา,DEFAULT,,300
H-QT20-TD,ฝา QT คอ20 ทองแดง,DEFAULT,,300
H-QT24-BB,ฝา QT คอ24 ดำเงา,DEFAULT,,200
H-QT24-SDC,ฝา QT คอ24 เงินด้านคาดเงิน,DEFAULT,,200
H-QT24-SS,ฝา QT คอ24 เงินเงา,DEFAULT,,200
H-QT24-SS,ฝา QT คอ24 เงินเงา,DEFAULT,,200
H-QT-FOAM20,แผ่นโฟมรองฝา QT20,DEFAULT,,
H-QT-FOAM24,แผ่นโฟมรองฝา QT24,DEFAULT,,
H-T18C,ฝากดใส T18C,DEFAULT,,400
H-T20B,ฝากดดำ T20B,DEFAULT,,400
H-T20C,ฝากดใส T20C,DEFAULT,,400
H-T20W,ฝากดขาว T20W,DEFAULT,,400
H-T24B,ฝากดดำ T24B,DEFAULT,,300
H-T24C,ฝากดใส T24C,DEFAULT,,300
H-T24KGD,ฝากด T24 ครอบทองด้าน,DEFAULT,,300
H-T24KGG,ฝากด T24 ครอบทองเงา,DEFAULT,,300
H-T24KSD,ฝากด T24 ครอบเงินด้าน,DEFAULT,,300
H-T24KSS,ฝากด T24 ครอบเงินเงา,DEFAULT,,300
H-T24KTD,ฝากด T24 ครอบทองแดง,DEFAULT,,300
H-T24WMableW,ฝากด T24 ลายหินอ่อนมาร์เบิ้ล สีขาว,DEFAULT,,300
H-T24WMaple,ฝากด T24 เมเปิ้ล Maple,DEFAULT,,300
H-T24WMapling,ฝากด T24 Mapling,DEFAULT,,300
H-T24WOak,ฝากด T24 Oak,DEFAULT,,300
H-T24WW,ฝากดขาว T24W,DEFAULT,,300
H-T24WWalnut,ฝากด T24 Walnut,DEFAULT,,300
H-U20-B,ฝาแหลมดำ คอ 20,DEFAULT,,400
H-U20-W,ฝาแหลมขาว คอ 20,DEFAULT,,400
H-U24-B,ฝาแหลมดำ คอ 24,DEFAULT,,300
H-U24-W,ฝาแหลมขาว คอ 24,DEFAULT,,300
H-WA-0024-BB,ฝาขวดนํ้าสีดำคอ24,DEFAULT,,
H-WA-GL1Lr,ฝาแกลลอนกลม 1 ลิตร,DEFAULT,,162
H-WA-GL5Lr,ฝาแกลลอนกลม 3/5 ลิตร,DEFAULT,,60
J-AL-010-CC,"แกลลอน 1,000 ซีซี ใส",DEFAULT,40,
J-AL-010-WW,แกลลอน 1000 ซีซี ขาว,DEFAULT,40,
J-AL-020-CC,แกลลอน 2000 ซีซี,DEFAULT,,
J-AL-030-CC,แกลลอน 3000 ซีซี,DEFAULT,12,
J-AL-050-CC,แกลลอน 5000 ซีซี,DEFAULT,12,
J-AL-CAP1L-W,ฝาแกลลอน 1L สีขาว,DEFAULT,,162
J-AL-CAP3.8L-W,ฝาแกลลอนกลม 3.8L สีขาว (รุ่นฝาเกลียว),DEFAULT,,
J-AL-CAP3/5L-W,ฝาแกลลอน 3L/5L สีขาว,DEFAULT,,60
J-AL-JOOK1L,จุกตันแกลลอน 1L ใส,DEFAULT,,243
J-AL-JOOK3.8L,จุกตันแกลลอน 3.8L ใส,DEFAULT,,80
J-AL-JOOK3/5L,จุกตันแกลลอน 3L/5L ใส,DEFAULT,,120
J-ALO-0500-CC,แกลลอนกลม โอฬาร 500 CC,DEFAULT,40,
J-ALO-1000-CC,แกลลอนกลม โอฬาร 1000 CC,DEFAULT,30,
J-ALO-CAP-W,ฝาแกลลอนโอฬาร สีขาว,DEFAULT,,
J-ALO-PS,แผ่นโฟมโอฬาร พลาสติก 40.3มม หนา 1.5มม,DEFAULT,,
J-CL-3800-CC,แกลลอน 3.8 ลิตร กลม,DEFAULT,8,
J-G0250-C,แกลลอน G-250ml ใส,DEFAULT,75,
J-G0250-W,แกลลอน G-250ml ขาวทึบ,DEFAULT,75,
J-G0500-C,แกลลอน G-500ml ใส,DEFAULT,40,
J-G0500-W,แกลลอน G-500ml ขาวทึบ,DEFAULT,40,
J-G1000-C,แกลลอน G-1000ml ใส,DEFAULT,20,
J-G1000-W,แกลลอน G-1000ml ขาวทึบ,DEFAULT,20,
J-G1000-WCAP,ฝาขาว (ขวดG1000/500/250),DEFAULT,,50
J-G1000-WJOOK,จุกตัน (ขวดG1000/500/250),DEFAULT,,100
J-GD0500-W,ขวดดีเทอร์เจ้น GD-500ml ขาวทึบ,DEFAULT,40,
J-IM01-1000C,แกลลอนกลม IM01 1000ml สีใส,DEFAULT,32,
J-IM01-1000W,แกลลอนกลม IM01 1000ml สีขาวทึบ,DEFAULT,32,
J-IM01-CAPW,ฝาแกลลอนกลม IM01 สีขาว,DEFAULT,,100
J-IM01-JOOKC,จุกตันแกลลอนกลม IM01 สีใส,DEFAULT,,200
J-K1000-C,แกลลอนกลม K-1000ml ใส,DEFAULT,32,
J-K1000-CAPW,ฝาขาว (ขวดK1000),DEFAULT,,100
J-K1000-JOOKC,จุกตัน (ขวดK1000),DEFAULT,,200
J-KTB-010-F,ตัว ขวดน้ำยาซักผ้า TB 1000ml สีฟ้า,DEFAULT,20,
J-KTB-010-P,ตัว ขวดน้ำยาซักผ้า TB 1000ml สีชมพู,DEFAULT,20,
J-KTG-CAP-F,ฝาขวดน้ำยาซักผ้า TB/TG สีฟ้า,DEFAULT,,50
J-KTG-CAP-GR,ฝาขวดน้ำยาซักผ้า TB/TG สีเขียว,DEFAULT,,50
J-KTG-CAP-M1,ฝาขวดน้ำยาซักผ้า TB/TG สีม่วงอ่อน,DEFAULT,,50
J-KTG-CAP-M2,ฝาขวดน้ำยาซักผ้า TB/TG สีม่วงเข้ม,DEFAULT,,50
J-KTG-CAP-N,ฝาขวดน้ำยาซักผ้า TB/TG สีน้ำเงินเข้ม,DEFAULT,,50
J-KTG-CAP-P1,ฝาขวดน้ำยาซักผ้า TB/TG สีชมพูอ่อน,DEFAULT,,50
J-KTG-CAP-P2,ฝาขวดน้ำยาซักผ้า TB/TG สีชมพูเข้ม,DEFAULT,,50
J-KTG-CAP-W,ฝาขวดน้ำยาซักผ้า TB/TG สีขาว,DEFAULT,,50
K-JOOK-18,จุกตัน คอ18,DEFAULT,,2000
K-JOOK-20,จุกตัน คอ20,DEFAULT,,1000
K-JOOK-24,จุกตัน คอ24,DEFAULT,,1000
K-JOOK-28,จุกตัน คอ28,DEFAULT,,1000
K-JOOK-28,จุกตัน คอ28,DEFAULT,,1000
K-JOOK-33,จุกตัน คอ33,DEFAULT,,500
K-JOOK-PR20,จุกปิดรู คอ20,DEFAULT,,2000
K-JOOK-PRC20,แผ่นปิดรูจุกปิดรู (20),DEFAULT,,
K-JOOK-R18,จุกรู   คอ18,DEFAULT,,2000
K-JOOK-R20,จุกรู   คอ20,DEFAULT,,1000
K-JOOK-R24,จุกรู   คอ24,DEFAULT,,1000
K-JOOK-R28,จุกรู   คอ28,DEFAULT,,1000
K-JOOK-R33,จุกรู   คอ33,DEFAULT,,500
K-JOOK-RL20,จุกรูลิ้น คอ20,DEFAULT,,1000
K-JOOK-RL24,จุกรูลิ้น คอ24,DEFAULT,,1000
L-BAG01-R1-GO,ถุง R1 มีเชือกดึง (ใหญ่) 16.5x5.5x15.5 ทอง,DEFAULT,,30
L-BAG01-R1-P,ถุง R1 มีเชือกดึง (ใหญ่) 16.5x5.5x15.5 ชมพู,DEFAULT,,30
L-BAG01-R1-S,ถุง R1 มีเชือกดึง (ใหญ่) 16.5x5.5x15.5 เงิน,DEFAULT,,30
L-BAG01-R2-GO,ถุง R2 มีเชือกดึง (เล็ก) 13.5x5.5x14 ทอง,DEFAULT,,30
L-BAG01-R2-P,ถุง R2 มีเชือกดึง (เล็ก) 13.5x5.5x14 ชมพู,DEFAULT,,30
L-BAG01-R2-S,ถุง R2 มีเชือกดึง (เล็ก) 13.5x5.5x14 เงิน,DEFAULT,,30
L-BAG01-S1-GO,ถุง S1 สายสะพาย (ใหญ่) 13.5x5.5x14 ทอง,DEFAULT,,30
L-BAG01-S1-P,ถุง S1 สายสะพาย (ใหญ่) 13.5x5.5x14 ชมพู,DEFAULT,,30
L-BAG01-S1-S,ถุง S1 สายสะพาย (ใหญ่) 13.5x5.5x14 เงิน,DEFAULT,,30
L-BAG01-S2-GO,ถุง S2 สายสะพาย (เล็ก) 13x4x14.5 ทอง,DEFAULT,,40
L-BAG01-S2-P,ถุง S2 สายสะพาย (เล็ก) 13x4x14.5 ชมพู,DEFAULT,,40
L-BAG01-S2-S,ถุง S2 สายสะพาย (เล็ก) 13x4x14.5 เงิน,DEFAULT,,40
L-BAG01-ZL-01S,ถุง ZL ขนาด S (13x12x4CM),DEFAULT,,80
L-BAG01-ZL-02M,ถุง ZL ขนาด M (16.5x14.5x5CM),DEFAULT,,80
L-BAG01-ZL-03L,ถุง ZL ขนาด L (18x16.5x8CM),DEFAULT,,60
L-BAG02-11x16-Brown,ถุง Organic สีน้ำตาล Size S (11*16CM),DEFAULT,,100
L-BAG02-11x16-Choco,ถุง Organic สีช็อกโกแลต Size S (11*16CM),DEFAULT,,100
L-BAG02-11x16-Gray,ถุง Organic สีเทา Size S (11*16CM),DEFAULT,,100
L-BAG02-11x16-Green,ถุง Organic สีเขียว Size S (11*16CM),DEFAULT,,100
L-BAG02-11x16-Pink,ถุง Organic สีชมพู Size S (11*16CM),DEFAULT,,100
L-BAG02-15x20-Brown,ถุง Organic สีน้ำตาล Size M (15*20CM),DEFAULT,,100
L-BAG02-15x20-Choco,ถุง Organic สีช็อกโกแลต Size M (15*20CM),DEFAULT,,100
L-BAG02-15x20-Gray,ถุง Organic สีเทา Size M (15*20CM),DEFAULT,,100
L-BAG02-15x20-Green,ถุง Organic สีเขียว Size M (15*20CM),DEFAULT,,100
L-BAG02-15x20-Pink,ถุง Organic สีชมพู Size M (15*20CM),DEFAULT,,100
L-BAG03-16x22,ถุงผ้าแก้ว Size M (16*22CM),DEFAULT,,
